FID,id,tyyppi,nimi,teksti,kiinnitys,kuvaus_pvm,katselusuunta,x,y,z,datanomistaja,paivitetty_tietopalveluun,geom
liikennemerkkipilotti_liikennemerkit.6805,6805,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Pole,23.10.2015,27,25492391.079,6672053.603,23.64,Helsinki/MAKA,2018-11-20,POINT (6672053.603 25492391.079)
liikennemerkkipilotti_liikennemerkit.6806,6806,142,N/A,,Lightpole,23.10.2015,311,25492382.797,6672057.757,24.23,Helsinki/MAKA,2018-11-20,POINT (6672057.757 25492382.797)
liikennemerkkipilotti_liikennemerkit.6807,6807,Unclassified,Luokittelematon,,Pole,23.10.2015,17,25492376.696,6672063.325,23.436,Helsinki/MAKA,2018-11-20,POINT (6672063.325 25492376.696)
liikennemerkkipilotti_liikennemerkit.6808,6808,851,Voimassaoloaika,8-17,Pole,23.10.2015,283,25492345.532,6672073.172,22.321,Helsinki/MAKA,2018-11-20,POINT (6672073.172 25492345.532)
liikennemerkkipilotti_liikennemerkit.6809,6809,Unclassified,Luokittelematon,,Pole,23.10.2015,283,25492343.652,6672070.306,22.116,Helsinki/MAKA,2018-11-20,POINT (6672070.306 25492343.652)
liikennemerkkipilotti_liikennemerkit.6810,6810,856a,Pysäköintikiekon käyttövelvollisuus,4h 8-20,Pole,23.10.2015,275,25492331.943,6672075.584,21.565,Helsinki/MAKA,2018-11-20,POINT (6672075.584 25492331.943)
liikennemerkkipilotti_liikennemerkit.6811,6811,872,"Tekstillinen lisäkilpi ""Huoltoajo sallittu""",unreadable,Other,06.10.2015,271,25497161.718,6673210.679,13.399,Helsinki/MAKA,2018-11-20,POINT (6673210.679 25497161.718)
liikennemerkkipilotti_liikennemerkit.6813,6813,Unclassified,Luokittelematon,,Pole,23.10.2015,264,25492321.024,6672074.946,21.148,Helsinki/MAKA,2018-11-20,POINT (6672074.946 25492321.024)
liikennemerkkipilotti_liikennemerkit.6814,6814,828,N/A,,Pole,23.10.2015,264,25492321.091,6672074.919,20.628,Helsinki/MAKA,2018-11-20,POINT (6672074.919 25492321.091)
liikennemerkkipilotti_liikennemerkit.6815,6815,372,Pysäköinti kielletty,,Other,06.10.2015,271,25497161.723,6673210.736,13.813,Helsinki/MAKA,2018-11-20,POINT (6673210.736 25497161.723)
liikennemerkkipilotti_liikennemerkit.6816,6816,372,Pysäköinti kielletty,,Pole,23.10.2015,180,25492317.105,6672055.467,19.987,Helsinki/MAKA,2018-11-20,POINT (6672055.467 25492317.105)
liikennemerkkipilotti_liikennemerkit.7574,7574,424,N/A,,Lightpole,09.10.2015,84,25497788.229,6671365.244,4.916,Helsinki/MAKA,2018-11-20,POINT (6671365.244 25497788.229)
liikennemerkkipilotti_liikennemerkit.7575,7575,511,Suojatie,,Pole,09.10.2015,81,25497791.481,6671371.385,5.392,Helsinki/MAKA,2018-11-20,POINT (6671371.385 25497791.481)
liikennemerkkipilotti_liikennemerkit.7576,7576,531,Paikallisliikenteen linja-auton pysäkki,,Pole,09.10.2015,267,25497776.207,6671379.378,5.502,Helsinki/MAKA,2018-11-20,POINT (6671379.378 25497776.207)
